Warehouse,Buyer,Cross Dock,dest_wh,function,DA,Supplier,Order No,OPE,GIFI Code,Designation,Total Qty,NB of Cartons,Received Qty,Received NB of Cartons,Unit CBM (LxWxH),Net Weight,Total CBM,Gross Weight,DA CBM,Appointment Date,Delivery Date,Reception Warehouse,Type,Remarks,Location,Status,psa_no,incoterm,Booking Date,Document Received Date,Customs Confirm Date
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473038,DEGUISEMENT SORCIERE F4/6 POE,3204,89,,,,,,,4.45,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473038,DEGUISEMENT SORCIERE F4/6 POE,3348,93,,,,,,,4.65,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473038,DEGUISEMENT SORCIERE F4/6 POE,2016,56,,,,,,,2.8,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473038,DEGUISEMENT SORCIERE F4/6 POE,1728,48,,,,,,,2.4,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473057,DEGUISEMENT SORCIERE F7/10 POE,2988,83,,,,,,,4.15,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473057,DEGUISEMENT SORCIERE F7/10 POE,2952,82,,,,,,,4.1,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473057,DEGUISEMENT SORCIERE F7/10 POE,1728,48,,,,,,,2.4,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473057,DEGUISEMENT SORCIERE F7/10 POE,1512,42,,,,,,,2.1,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473069,DEGUISEMENT SORCIERE F11/14,900,25,,,,,,,1.5,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473069,DEGUISEMENT SORCIERE F11/14,936,26,,,,,,,1.56,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473069,DEGUISEMENT SORCIERE F11/14,648,18,,,,,,,1.08,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,473069,DEGUISEMENT SORCIERE F11/14,504,14,,,,,,,0.84,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552329,DEGUISEMENT ROBE SORCIERE 4/6A,612,17,,,,,,,1.36,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552329,DEGUISEMENT ROBE SORCIERE 4/6A,756,21,,,,,,,1.68,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552329,DEGUISEMENT ROBE SORCIERE 4/6A,396,11,,,,,,,0.88,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552329,DEGUISEMENT ROBE SORCIERE 4/6A,360,10,,,,,,,0.8,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552330,DEGUISEMENT DAY DEAD 4/6 POE,324,9,,,,,,,0.9,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552330,DEGUISEMENT DAY DEAD 4/6 POE,432,12,,,,,,,1.2,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552330,DEGUISEMENT DAY DEAD 4/6 POE,180,5,,,,,,,0.5,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552330,DEGUISEMENT DAY DEAD 4/6 POE,252,7,,,,,,,0.7,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552334,DEGUISEMENT DRAGON 4/6A POE,576,16,,,,,,,1.28,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552334,DEGUISEMENT DRAGON 4/6A POE,720,20,,,,,,,1.6,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552334,DEGUISEMENT DRAGON 4/6A POE,360,10,,,,,,,0.8,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552334,DEGUISEMENT DRAGON 4/6A POE,360,10,,,,,,,0.8,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,200,RP200,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552335,DEGUISEMENT DRAGON 7/10A POE,288,8,,,,,,,0.64,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,300,RP300,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552335,DEGUISEMENT DRAGON 7/10A POE,324,9,,,,,,,0.72,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,500,RP500,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552335,DEGUISEMENT DRAGON 7/10A POE,180,5,,,,,,,0.4,,,,DA,,,Open,,FCA,,,
Ningbo CFS,GA,0,VAL,RPVAL,214300,GIFI ASIA [LF CENTENNIALS Pte. Ltd.],JUG0121036,1021HAL2,552335,DEGUISEMENT DRAGON 7/10A POE,216,6,,,,,,,0.48,,,,DA,,,Open,,FCA,,,
